DEMOGRAPHICS,,,,,,,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,WHAT INFLUENCED YOUR DECISION TO PURCHASE TIC TAC MINI PACKS?,,,,,,,,,WHERE DID YOU FIND THE PRODUCT? ,,WHERE DID YOU EXPECT TO FIND THE PRODUCT? ,,,WHICH BRAND OF CANDY/MINTS DO YOU TYPICALLy PURCHASE?  ,,,,,
Survey Respondent,Gender,Age Tier,Flavor Purchased, Did you purchase and try Tic Tac Mini Packs,When do you plan on trying the product?  ,"After trying the product, what did you like the most? ","After trying the product, what did you like the least?",What did you think of the flavor you redeemed? ,When was the last time you purchased a Tic Tac?  ,Tastes great,Easy to share,The unique flavors,It’s the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,I like Tic Tac and wanted to try Tic Tac Mini Packs,"I wanted to try the flavors offered (Freshmint, Tropical Mix)",Tic Tac Mini Packs was more appealing than the candy/mints I usually buy,Tic Tac Mini Packs provided more value than the other candy/mints I usually buy,I like the convenience of the multi-serve packaging ,The Ibotta Rebate,"Other, please specify...","Other, please specify... [text",Were you able to easily find Tic Tac Mini Packs? ,Where did you find the product? ,Where did you find the product?  [other],Where did you expect to find the product? ,Where did you expect to find the product?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase?  ,Which brand of candy/mints do you typically purchase?   [other],Would you consider yourself loyal to that brand? ,How likely are you to repurchase Tic Tac Mini Packs the next time you buy candy/mints? ,"In the future, how often would you purchase Tic Tac Mini Packs? ",Why would you likely not repurchase Tic Tac Mini Packs? 
Respondent 165,F,55-64,Freshmint,Yes,, I like tell they were in like a little four pack because that's how many eat anyways at a time when you buy them in the regular packs! , That the kids leave the wrappers in the car! Lol!,Moderately Liked  ,In the last month,1,1,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 166,F,35-44,Tropical Mix,Yes,,The different fruit flavors,N/a,Extremely Liked ,Four to seven days ago,,1,,,,,,,1,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Altoids,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 167,F,45-54,Tropical Mix,Yes,,the small size,nothing,Extremely Liked ,In the last month,1,1,1,,1,,1,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 168,F,45-54,Multiple Flavors,Yes,,The individual serving sizes,They are great as always,Extremely Liked ,Rarely or Never,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 169,F,25-34,Freshmint,Yes,,Flavor (mint is my favorite tic tac flavor),Not sure how I feel about the packaging,Extremely Liked ,Yesterday,1,1,,,1,1,,1,,,1,,1,1,It's difficult to find the large package of tic tac mint flavor,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Every 2-3 Weeks,
Respondent 170,F,25-34,Freshmint,Yes,,Single serving packs ,Came in other favors ,Moderately Liked  ,Longer than a month ago,,,,,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 171,F,15-24,Multiple Flavors,Yes,,The Individul  packs that are easy  to take with you,Didn't like the taste of the fruit tic tacs ,Extremely Disliked,Four to seven days ago,,,,1,,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 172,F,15-24,Freshmint,Yes,,The packets versus the container. Easier to carry around with me.,There are too many in the packet. I think 3 would bee ouch.,Extremely Liked ,Four to seven days ago,,,,,1,,,,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 173,F,25-34,Tropical Mix,Yes,,The flavor ,The packaging,Moderately Liked  ,Longer than a month ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 174,F,35-44,Freshmint,Yes,,Taste,Nothing to dislike,Extremely Liked ,In the last month,1,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 175,F,35-44,Freshmint,Yes,,Flavor,Not enough for price ,Moderately Liked  ,In the last month,1,1,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 176,F,45-54,Freshmint,Yes,,portable,n/a,Moderately Liked  ,Longer than a month ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 177,F,55-64,Freshmint,Yes,,The convenient size and serving!,I could only find the plain white ones,Moderately Liked  ,Longer than a month ago,1,1,1,1,,,1,1,,,,1,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 178,F,35-44,Freshmint,Yes,,The convinence of a little amount to keep in pocket,Having to unwrap the little pack,Moderately Liked  ,Rarely or Never,,,,,,,1,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 179,F,35-44,Freshmint,Yes,,Convenience of dize,Lid came open in my purse easily.,Moderately Liked  ,Four to seven days ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 180,F,45-54,Freshmint,Yes,,Flavor,The mess of the paper on small pkg,Extremely Liked ,Four to seven days ago,,1,,,,,,,,1,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Might/Might Not ,Once a Month,
Respondent 181,F,25-34,Freshmint,Yes,,The convenience ,The trash,Extremely Liked ,In the last month,1,,1,,,,,1,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 182,F,35-44,Freshmint,Yes,,"They are very handy to grab and throw a few in your purse, pocket, backpack....etc.",Just sometimes I wish I would have grabed more.,Extremely Liked ,In the last month,1,1,,1,1,,,1,1,1,1,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 183,F,45-54,Tropical Mix,Yes,,Flavor,Size,Extremely Liked ,Two or three days ago,,,1,,,,,1,,,,,,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Starburst,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 184,F,55-64,Freshmint,Yes,,The easy to carry little packs,"Nothing, I love tic tacks",Extremely Liked ,In the last month,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 185,F,55-64,Tropical Mix,Yes,,Good flavor,Nothing,Extremely Liked ,Four to seven days ago,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 186,F,45-54,Freshmint,Yes,,Convenient to tuck in pocket,"Two would have been enough, four at once was too minty for me",Moderately Liked  ,Four to seven days ago,1,1,,1,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 187,F,35-44,Freshmint,Yes,,Small individual size packs,More flavor choices ,Extremely Liked ,In the last month,1,1,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 188,F,35-44,Tropical Mix,Yes,,Tropical flavor variety,Nothing,Extremely Liked ,Today,,,,,,,1,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 189,F,25-34,Freshmint,Yes,,The flavor,Nothing,Extremely Liked ,Four to seven days ago,1,1,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 190,F,55-64,Tropical Mix,Yes,,I love that there are 4 mints in each packet.,I wish the bag was resealable.,Extremely Liked ,In the last month,1,,,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 191,F,45-54,Tropical Mix,Yes,,The nicely sized portion packets,Not too fond of the mango flavor,Moderately Liked  ,Rarely or Never,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month or less,
Respondent 192,F,25-34,Multiple Flavors,Yes,,the convenient size and lot quieter than the larger plastic containers when in quiet surroundings(church),"Nothing, I liked everrything.",Moderately Liked  ,Two or three days ago,1,1,1,,,,,1,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Every 2-3 Weeks,
Respondent 193,M,35-44,Tropical Mix,Yes,,Variety of flavors ,Small packs a pain to get open ,Moderately Liked  ,Longer than a month ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Every 2-3 Weeks,
Respondent 194,F,25-34,Tropical Mix,Yes,,variety of packs ,nothing,Extremely Liked ,In the last month,1,1,1,1,1,1,,1,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Starburst,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 195,F,35-44,Freshmint,Yes,,Just the right amount in each Pak. I can carry several pals in my purse and keep several packs in a bowl by the front door. ,Nothing I dislike about them. ,Extremely Liked ,In the last month,1,1,1,,,,1,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 196,F,45-54,Multiple Flavors,Yes,,Easier to carry in my pocket than the box,They are great,Extremely Liked ,Four to seven days ago,1,,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 197,F,35-44,Freshmint,Yes,,Flavor and convenience of the small packs,Nothing,Extremely Liked ,In the last month,1,1,1,,1,,,1,,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 198,F,45-54,Freshmint,Yes,,I love that each mini pack only has 4 tic tacs in them!! ,Nothing. ,Extremely Liked ,Longer than a month ago,1,1,,,,,1,1,1,1,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month or less,
Respondent 199,F,35-44,Freshmint,Yes,,Packing,Hard to find,Extremely Liked ,In the last month,1,,,,,,,,,1,,,,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 200,F,45-54,Tropical Mix,Yes,,the size and flavor,too many mini pkcks in a pkg,Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 201,F,45-54,Multiple Flavors,Yes,,"Size, easily fit in purse or car.",That it wasn't made sooner.,Extremely Liked ,Rarely or Never,1,,,,,,,,,,,1,1,1,"Most mints have aspertame, tic tacs do not","Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Definitely would ,Once a Month or less,
Respondent 202,F,45-54,Multiple Flavors,Yes,,I like having individual packages.,The packages are hard to open.,Extremely Liked ,In the last month,1,1,1,1,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 203,F,35-44,Tropical Mix,Yes,,The taste,They are addictive. Cant eat just 1pack,Extremely Liked ,Rarely or Never,1,,1,1,1,,,,1,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 204,M,55-64,Multiple Flavors,Yes,,Excellent ,N/A,Extremely Liked ,Four to seven days ago,,,1,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 205,F,45-54,Freshmint,Yes,,Easy transportability ,No orange flavor,Moderately Liked  ,Longer than a month ago,,1,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 206,F,45-54,Freshmint,Yes,,individual packs,price,Extremely Liked ,Four to seven days ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Altoids,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 207,F,35-44,Tropical Mix,Yes,,The individual packets. I liked not having to dumb the container into my hand trying to get 1 or 2 mints and having half the container spill out. It was much more convienent ,The extra cost ,Extremely Liked ,In the last month,1,1,,,,,1,1,,,,,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 208,F,55-64,Multiple Flavors,Yes,,the taste,nothing,Moderately Liked  ,Rarely or Never,,,,,1,,,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 209,F,45-54,Freshmint,Yes,,the small package,need to have more flavors,Extremely Liked ,Longer than a month ago,,1,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month or less,
Respondent 210,F,35-44,Multiple Flavors,Yes,,Convenient to toss packs in lunch bags and my purse,I liked all,Extremely Liked ,In the last month,1,1,,,,,,1,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 211,F,35-44,Freshmint,Yes,,"convience, and they taste good",nothing,Moderately Liked  ,Four to seven days ago,1,1,,1,1,,,1,,,,1,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 212,F,35-44,Multiple Flavors,Yes,,I loved having the different varities in one bag..Love the taste. Have shared with my friends,nothing,Extremely Liked ,Rarely or Never,1,1,1,1,1,1,,,,,1,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I’m not loyal to any brands ",Definitely would ,Once a Week,
Respondent 213,F,45-54,Freshmint,Yes,,Convenience for transporting small amount in pocket. ,Locating in purse small pack if loose,Extremely Liked ,Longer than a month ago,,,,1,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 214,F,45-54,Multiple Flavors,Yes,,The little packets they come in,I loved it,Extremely Liked ,Two or three days ago,,,,,1,,,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 215,F,25-34,Freshmint,Yes,,The convenience ,Package was hard to open,Extremely Liked ,Two or three days ago,,1,,,,,,,,1,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 216,F,25-34,Freshmint,Yes,,"The packaging, can carry a few in my pocket at work.   ",Flavored.  Not big on either one that is out right now.  Prefer wintergreen over peppermint.  Also the fruit mix one only has one flavor in it I like.,Neither Liked nor Disliked,In the last month,,1,1,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Probably would ,Every 2-3 Weeks,
Respondent 217,M,45-54,Freshmint,Yes,,They're convenient ,"Nothing, they're perfectly sized.",Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Altoids,,"No, I’m not loyal to any brands ",Definitely would ,Once a Month,
Respondent 218,F,55-64,Multiple Flavors,Yes,,Flavor ,Price,Extremely Liked ,Two or three days ago,1,1,1,,1,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands ",Definitely would ,Every 2-3 Weeks,
Respondent 219,F,35-44,Freshmint,Yes,,"Actually, I bought it for my  granddaughter,( she is 8). She loves it a lot, she loves this mini size, it is veri convenientt to take in lunch box",I like it like that,Moderately Liked  ,Four to seven days ago,1,1,,,1,,,,,1,1,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 220,F,35-44,Tropical Mix,Yes,,The fruit flavor and the individual rape,Not enough flavors,Extremely Liked ,Yesterday,1,1,,,1,,,1,1,,,1,,,,"No, it wasn’t where I expected to find it",,,The candy aisle,,Single Pack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 221,F,35-44,Freshmint,Yes,,Sealed.,Too many in one package.,Extremely Liked ,Four to seven days ago,1,1,,,,,,1,1,,,1,,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Multipack,Altoids,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 222,F,45-54,Freshmint,Yes,,The size of the product ,Nothing! Don't chandler anything ,Extremely Liked ,Four to seven days ago,,,,,1,,,,1,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 223,F,45-54,Freshmint,Yes,,That they are prepackaged,That the bag isn't reclosable,Extremely Liked ,Longer than a month ago,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Probably would ,Once a Month or less,
Respondent 224,F,35-44,Freshmint,Yes,,The individual packets,Nothing,Extremely Liked ,In the last month,1,,,,1,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 225,F,35-44,Tropical Mix,Yes,,Convenient packs,Taste,Moderately Disliked  ,In the last month,,,1,,,,1,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",Probably would not ,,Taste
Respondent 226,F,35-44,Multiple Flavors,Yes,,That I could throw them in my purse or pocket.,Cost,Extremely Liked ,Longer than a month ago,,,1,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 227,F,55-64,Tropical Mix,Yes,,Individually wrapped,Package seemed small for price,Extremely Liked ,Today,1,,1,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Life Savers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 228,F,35-44,Freshmint,Yes,,Convenient serving size,little expensive,Extremely Liked ,Longer than a month ago,,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands ",Might/Might Not ,Once a Month,
Respondent 229,F,35-44,Freshmint,Yes,,The individual packs. ,The cost. ,Extremely Liked ,Longer than a month ago,1,,,1,,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 230,F,35-44,Freshmint,Yes,,Pack size,Only could find one flavor ,Moderately Liked  ,Four to seven days ago,,1,,,,,,,,,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Ice Breakers,,"No, I’m not loyal to any brands ",Probably would ,Once a Month,
Respondent 231,F,25-34,Freshmint,Yes,,Minty flavor and fresh breath,After taste,Moderately Liked  ,Two or three days ago,1,,,,,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Mentos,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 232,F,55-64,Tropical Mix,Yes,,I liked that there was a variety of flavors in the pack.,There are other flavors that would be better in these bags.,Moderately Liked  ,In the last month,1,,1,,1,,,1,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month or less,
Respondent 233,F,45-54,Freshmint,Yes,,Taste,Little bit pricey,Extremely Liked ,In the last month,1,1,1,1,,1,1,1,1,,1,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 234,F,35-44,Multiple Flavors,Yes,,The convenience of sharing. I could give these little packets to my grandchildren and they loved them.,Having to open all the packets for the grandchildren. I now carry scissors in my purse.,Extremely Liked ,Longer than a month ago,1,1,1,,,,1,,,,,1,1,,,"No, I had to go to more than one store to find it",,,The candy aisle,,Single Pack,Starburst,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 235,F,45-54,Freshmint,Yes,,The packs are the perfect size for when you need that quick mint to freshen your breath.,The size of the packs,Extremely Liked ,Four to seven days ago,1,,,,,,,1,,,,1,1,,,"No, I had to go to more than one store to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Week,
Respondent 236,F,25-34,Freshmint,Yes,,same great taste,packaging ,Extremely Liked ,In the last month,1,,,,,,,1,,,,,1,,,"Yes, I found it immediately ","Other, please specify...",On an endcap,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would not ,,"Was difficult to open the pack...and when I only ate one, what do I do with the opened pack?  It spilled out in the bottom of my purse.  The container is much easier to open and retain the items.  Also seems a lot of wasted packaging "
Respondent 237,F,35-44,Freshmint,Yes,,I like the individual packs. They make it more convenient and sanitary to share. ,Nothing! They're awesome!! ,Extremely Liked ,Longer than a month ago,1,1,,,,,,,,1,,,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Mentos,,"No, I vary between a few different brands",Definitely would ,Once a Month,
Respondent 238,F,35-44,Tropical Mix,Yes,,The flavors!,I didn't have anything to dislike ,Extremely Liked ,Four to seven days ago,1,1,,1,1,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Every 2-3 Weeks,
Respondent 239,F,55-64,Multiple Flavors,Yes,,"The small individual packages, great for on-the-go & in purses.",Nothing.,Extremely Liked ,Rarely or Never,1,1,1,,1,,,,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 240,F,45-54,Multiple Flavors,Yes,,Flavors,The mint because I'm allergic to mint.,Moderately Liked  ,Two or three days ago,1,1,,,,,,,,,,,1,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 241,F,35-44,Freshmint,Yes,,Convenience,Trash,Moderately Liked  ,In the last month,,,,,1,,,,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Might/Might Not ,Once a Month,
Respondent 242,F,35-44,Multiple Flavors,Yes,,they were really good hope u keep these ones,nothing liked them ,Extremely Liked ,Four to seven days ago,1,,,,,,,1,1,1,1,1,1,,,"No, it wasn’t where I expected to find it",,,In the checkout lane with the other mints,,Single Pack,Skittles,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 243,M,35-44,Multiple Flavors,No,Within the next week,,,,Two or three days ago,1,,1,,,,,1,,,,,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",Might/Might Not ,Every 2-3 Weeks,
Respondent 244,M,35-44,Multiple Flavors,Yes,,good ,nothing,Extremely Liked ,Two or three days ago,1,1,,,,,1,1,,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Ice Breakers,,"Yes, I always purchase the same candy/mints brand",Probably would ,Once a Month,
Respondent 245,F,35-44,Tropical Mix,Yes,,Convenient little packs fit nice in my pocket,Nothing,Extremely Liked ,In the last month,1,,,,,,,1,,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Month,
Respondent 246,F,25-34,Tropical Mix,Yes,,Perfect size,Nothing.,Extremely Liked ,Two or three days ago,1,1,1,,,,,,1,,,1,1,,,"Yes, I found it immediately ",The candy aisle,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Every 2-3 Weeks,
Respondent 247,F,45-54,Tropical Mix,Yes,,Simply love tic tac in any size shape or form ,N/a,Extremely Liked ,Two or three days ago,1,1,1,1,1,1,1,1,,,,,,,,"Yes, I found it immediately ",In the checkout lane with the other mints,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",Definitely would ,Once a Week,
Respondent 248,F,55-64,Freshmint,Yes,,"The small packages allows for me to put a few in my purse, pocket, leave a couple in my car, & are the perfect size. ",I would have liked a cinnamon flavor better than spearmint but my spouse loves the spearmint,Moderately Liked  ,In the last month,,1,,,,,,1,,,,1,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",Probably would ,Once a Month,
Respondent 249,M,55-64,Multiple Flavors,Yes,,The convenience of the packaging.,"I loved the product, nothing to report!",Extremely Liked ,In the last month,,1,,,,,,,1,,,,,,,"Yes, I found it immediately ",The candy aisle,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",Definitely would ,Once a Month,
