DEMOGRAPHICS,,,,WHAT ABOUT TIC TAC MOST APPEALS TO YOU?,,,,,,,,,,,WHICH FLAVOR(S) DIDN'T APPEAL TO YOU? (SELECT ALL THAT APPLY),,,,,,,,,,,,,,,,,,
Survey Respondent,Gender,Age Tier, Did you unlock the Tic Tac Mini Packs rebate in the Ibotta app?,Easy to share with friends and family,Easy to share around the office with co-workers,It's the perfect pick-me-up,Helps satisfy a craving,Helps me connect with others,Reminds me of my childhood,When was the last time you tried a Tic Tac? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing? ,We noticed you engaged with the Tic Tac Mini Packs rebate but didn’t redeem. Which of the statements below best describes your reason for not purchasing?  [other],Where did you expect to find the product?,Where did you expect to find the product? [other],Melon,Strawberry,Orange,Mango,Freshmint,Did you buy another brand of candy/mints instead of Tic Tac Mini Packs? ,Which type of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase? ,Which flavor of Tic Tac did you purchase?  [other],Did you purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints did you choose to purchase? ,Which brand of candy/mints did you choose to purchase?  [other],Do you typically purchase a Multipack or Single Pack of candy/mints? ,Which brand of candy/mints do you typically purchase? ,Which brand of candy/mints do you typically purchase?  [other],Would you consider yourself loyal to that brand? ,How likely are you to consider choosing Tic Tac Mini Packs the next time you buy candy/mints? ,What flavor would you most likely purchase? ,Why would you consider choosing other brands before Tic Tac Mini Packs? 
Respondent 697,M,45-54,Yes,1,,,,,,In the last month,"Other, please specify...",Couldn't find the mini bags in the check out  line.,,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Rather have a big mint to suck on for a long period of time
Respondent 698,F,35-44,Yes,1,1,,1,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 699,F,35-44,Yes,,,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 700,F,35-44,Yes,,1,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 701,F,35-44,Yes,1,,,,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I’m not loyal to any brands",It is my first choice ,Tropical Mix,
Respondent 702,F,25-34,Yes,,,1,,,,Rarely or Never,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 703,F,25-34,Yes,1,,,1,,,Today,"Other, please specify...",I have tried 5 diffrent stores and can not find them anywhere I would love to purchase,,,,,,,,"Yes, a different type of Tic Tac",Multipack ,Freshmint,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 704,F,45-54,Yes,1,,,1,,,Two or three days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Breath Savers ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 705,F,45-54,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 706,M,45-54,Yes,1,,,1,,,Two or three days ago,"Other, please specify...",I just didn't make it to the store in time.,,,,,,,,No,,,,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 707,F,25-34,Yes,1,,1,1,,1,In the last month,"Other, please specify...",Forgot to get them ,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 708,F,25-34,Yes,1,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 709,F,65+,Yes,1,,,1,,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 710,F,55-64,Yes,1,,1,1,,,Rarely or Never,"Other, please specify...",Forgot about the rebate,,,,,,,,No,,,,,,,Multipack,Breath Savers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 711,F,45-54,Yes,1,,,,,1,Longer than a month ago,"Other, please specify...",Forgot,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 712,F,55-64,Yes,,,,,1,,Today,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Fruit Adventure ,,,,,Single Pack,Life Savers,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 713,F,45-54,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 714,F,15-24,Yes,1,1,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands",It is my first choice ,Freshmint,
Respondent 715,F,25-34,Yes,,1,,,,1,Two or three days ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Mentos ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 716,F,35-44,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 717,F,35-44,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 718,F,25-34,Yes,,,,1,,,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Value 
Respondent 719,F,45-54,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 720,F,25-34,Yes,1,1,,1,,1,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Starburst,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 721,F,35-44,Yes,1,1,,1,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 722,F,45-54,Yes,1,,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 723,F,25-34,Yes,,,1,1,,1,Longer than a month ago,"Other, please specify...",I haven't looked to see if the store has it yet,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 724,F,45-54,Yes,,,,,,1,Rarely or Never,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,like gum better 
Respondent 725,F,55-64,Yes,,1,1,,,,In the last month,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I prefer individually wrapped mints or gum so I can keep just a few in my pocket whilel at work.
Respondent 726,M,25-34,Yes,,1,,,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 727,F,35-44,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 728,F,45-54,Yes,1,,,1,,1,Yesterday,"Other, please specify...",I didn't need more at the time,,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 729,F,55-64,Yes,,,,1,,,In the last month,"Other, please specify...",Forgot ,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 730,F,35-44,Yes,1,,,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,Starburst,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,Price
Respondent 731,F,35-44,Yes,,,,1,,,Longer than a month ago,"Other, please specify...",Didn't look for it in the store,,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 732,F,25-34,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,No,,,,,,,Multipack,Starburst,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Price
Respondent 733,F,35-44,Yes,,,1,1,,1,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 734,F,15-24,Yes,1,,,1,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Price 
Respondent 735,F,35-44,Yes,1,,,1,,1,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 736,F,65+,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 737,F,45-54,Yes,1,,,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Multipack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 738,F,35-44,Yes,1,,,,,,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Altoids ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 739,F,25-34,Yes,1,1,1,,1,1,Four to seven days ago,"Other, please specify...",Haven't made it to store yet to locate.,,,,,,,,No,,,,,,,Multipack,Breath Savers,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I like how other brands have a stronger mint taste then Tic Tacs. 
Respondent 740,F,55-64,Yes,,,1,1,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 741,F,55-64,Yes,,,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Ice Breakers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 742,F,35-44,Yes,1,,1,1,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 743,F,35-44,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Bigger mint 
Respondent 744,F,45-54,Yes,1,1,1,1,1,1,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 745,F,45-54,Yes,1,1,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Altoids,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 746,F,25-34,Yes,1,,,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Cheaper 
Respondent 747,F,35-44,Yes,,,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 748,F,25-34,Yes,1,,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 749,F,55-64,Yes,1,1,,1,1,,Four to seven days ago,"Other, please specify...","When I eat Tic Tacs, I love them so much I eat too many so I don't always buy them.",,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"Other, please specify...",Orbit gum,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 750,F,25-34,Yes,1,,,,,1,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,I feel like Tic Tac doesn't really freshen my breath like other mints do. It's just for taste.
Respondent 751,F,25-34,Yes,,1,,,,,Two or three days ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 752,F,25-34,Yes,,,1,1,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Breath Savers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 753,F,45-54,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"Other, please specify...",Turtle chocolate,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 754,F,45-54,Yes,1,,,,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 755,F,35-44,Yes,1,,,,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Tropical Mix,
Respondent 756,F,35-44,Yes,,,,1,,,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 757,F,15-24,Yes,,1,,,,,Longer than a month ago,The individual packaging didn’t appeal to me,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Ice Breakers ,,,,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Fresher breath
Respondent 758,F,45-54,Yes,,,,,,1,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 759,F,65+,Yes,,,,1,,,Two or three days ago,The individual packaging didn’t appeal to me,,,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Fruit Adventure ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 760,F,25-34,Yes,1,1,1,1,1,1,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Im not sure.
Respondent 761,F,45-54,Yes,1,1,1,1,1,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 762,F,35-44,Yes,1,1,,,,,Two or three days ago,"Other, please specify...",Didn't get around to it,,,,,,,,No,,,,,,,Single Pack,Breath Savers,,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Not my go to
Respondent 763,F,35-44,Yes,1,,,,,,Today,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 764,F,45-54,Yes,,,,1,,,In the last month,I was unable to find the product in the store,,"Other, please specify...",Looked at checkouts and candy aisle,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 765,F,25-34,Yes,,,,,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I like gum better
Respondent 766,F,45-54,Yes,,1,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 767,F,35-44,Yes,,,1,,,,Yesterday,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 768,F,25-34,Yes,1,,1,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Altoids,,"Yes, I always purchase the same candy/mints brand",I might consider choosing it but there are others I would choose more often,,Because its cheap
Respondent 769,F,35-44,Yes,1,,,,,,Four to seven days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 770,F,25-34,Yes,1,,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 771,F,35-44,Yes,,,,,,1,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,I prefer mints that are stronger in flavor
Respondent 772,M,35-44,Yes,1,,1,1,,1,Yesterday,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Multipack ,Fruit Adventure ,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 773,F,45-54,Yes,1,1,,1,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Altoids,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 774,F,45-54,Yes,1,,,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Orange ,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Availability in store
Respondent 775,F,35-44,Yes,,,,1,1,,Longer than a month ago,"Other, please specify...",I just didn't get to the store to get them.,,,,,,,,No,,,,,,,Multipack,Life Savers,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 776,F,35-44,Yes,1,,,,,,In the last month,"Other, please specify...",i did not have time to go to Walmart to but it.,,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,because of my children.
Respondent 777,M,35-44,Yes,,1,,1,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Starburst,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 778,M,45-54,Yes,1,1,,1,,,Two or three days ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 779,F,55-64,Yes,1,,,,,,In the last month,"Other, please specify...",Some of my family has had health issues and hadn't been shopping lately,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 780,F,45-54,Yes,1,,,,,,Longer than a month ago,"Other, please specify...",forgot to buy,,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Life Savers ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 781,F,25-34,Yes,1,,1,1,,1,Longer than a month ago,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,No,,,,,,,Single Pack,Skittles,,"No, I vary between a few different brands",I might consider choosing it but there are others I would choose more often,,Price.
Respondent 782,M,55-64,Yes,,,,1,,,Yesterday,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,1,1,1,1,"Yes, a different type of Tic Tac",Single Pack,"Other, please specify...",Peppermint,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 783,F,35-44,Yes,,1,,,,,Longer than a month ago,There were other candy/mints that were more appealing than Tic Tac Mini Packs ,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Life Savers ,,,,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 784,F,55-64,Yes,1,1,,,,1,Four to seven days ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,No,,,,,,,Single Pack,Mentos,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 785,F,55-64,Yes,1,,,1,,,Longer than a month ago,I was unable to find the product in the store,,With the chips and other snacks,,,,,,,No,,,,,,,Single Pack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 786,F,35-44,Yes,,,,,,1,Yesterday,"Other, please specify...",I lost the coupon I had for it ,,,,,,,,No,,,,,,,Single Pack,Life Savers,,"No, I vary between a few different brands",It is my first choice ,Tropical Mix,
Respondent 787,M,25-34,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,In the checkout lane with the other mints,,,,,,,"Yes, a different type of Tic Tac",Single Pack,Freshmint,,,,,Multipack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 788,F,65+,Yes,1,,,1,,,Rarely or Never,I was unable to find the product in the store,,"Other, please specify...",with the otherr packaged mints and gums,,,,,,No,,,,,,,Multipack,Ice Breakers,,"No, I’m not loyal to any brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 789,F,35-44,Yes,,,1,,,,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"Yes, I always purchase the same candy/mints brand",It is my first choice ,Freshmint,
Respondent 790,F,25-34,Yes,1,1,,,,,In the last month,Tic Tac Mini Packs was too expensive even with the rebate,,,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,"Other, please specify...",gummy bears,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 791,F,15-24,Yes,1,1,1,1,,1,Longer than a month ago,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Altoids ,,,,,"Yes, I always purchase the same candy/mints brand",I would probably consider choosing it amongst others,Freshmint,
Respondent 792,F,45-54,Yes,,,,,,1,Longer than a month ago,"Other, please specify...",Forgit,,,,,,,,No,,,,,,,Multipack,"None of the above, I prefer gum/other breath fresheners over candy/mints",,"No, I’m not loyal to any brands",I might consider choosing it but there are others I would choose more often,,Convinience
Respondent 793,F,45-54,Yes,1,,,,,,In the last month,"Other, please specify...",just forgot to buy,,,,,,,,No,,,,,,,Single Pack,Tic Tac,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Tropical Mix,
Respondent 794,F,25-34,Yes,,1,,,,,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Multipack ,Life Savers ,,,,,"No, I vary between a few different brands",It is my first choice ,Freshmint,
Respondent 795,F,35-44,Yes,,,,1,,,Two or three days ago,"One or more of the Tic Tac Mini Packs flavors (Freshmint, Tropical Mix) didn’t appeal to me",,,,1,,,1,,"Yes, a different brand of candy/mints ",,,,Multipack ,Skittles ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
Respondent 796,F,35-44,Yes,1,,1,1,,1,In the last month,I was unable to find the product in the store,,The candy aisle,,,,,,,"Yes, a different brand of candy/mints ",,,,Single Pack,Ice Breakers ,,,,,"No, I vary between a few different brands",I would probably consider choosing it amongst others,Freshmint,
